Player,VPIP,PFR,Results
freshleo111,30.1,18.2,1
skattefar,34.48,17.77,1
YoungAKGun,47.16,24.01,1
ecta4482,35.33,18.91,1
nesterzhzhot,38.85,26.07,1
Drochba,31.91,17.67,1
24kgilded,31.93,16.48,1
F1nntroll,38.19,21.92,1
danfiu,32.12,18.41,1
BongBob,37.21,19.38,1
baadger,35.12,20.43,1
patapong,28.91,16.42,1
miszczunio85,30.22,18.65,1
jarrydg,37.43,25.61,1
viebu,48.79,31.7,1
Argentin_GOd,40.73,22.86,1
GramGrubo,30.23,17.21,1
vovkawow,29.81,17.71,1
PeiMaiPano93,40.78,24.75,1
Grazvis1,35.63,19.9,1
Pastafiore,41.76,24.38,1
InnInnPaPa,32.56,18.84,1
Jhaoklet,34.68,18.58,1
Odd_Oddsen,35.32,19.15,1
KissMyAcePlz,30.84,16.57,1
ShipManShip,33.16,18.47,1
HoppyEzM,28.36,15.1,1
EEE27,31.48,18.28,1
Demjanenko,30.62,16.72,1
holyrollers7,33.33,17.04,1
atoraya88,82.18,44.73,0
motilda-7,60.49,25.3,0
Paatrick_129,41.38,25.04,0
jangosmith,51.96,4.15,0
IRIGAR,79.9,28.92,0
tkdj,67.06,5.18,0
Mary & Joey,56.03,37.48,0
Ana Conda222,79.16,12.46,0
allin2bluff,43.19,21.24,0
Us_Alex,43.74,19.36,0
aramesko,37.7,28.78,0
adv2mayfair,79.99,28.85,0
rockydog201,31.06,18.64,0
sneik1313,70.71,41.76,0
thonie_71,52.53,6.17,0
hux13m,46.33,27.92,0
NeverFoldYou,48.76,29.24,0
audia6m,46.39,27,0
yeasss,52.83,12.88,0
noel_nic,62.32,30.6,0
Daguai,76.73,7.64,0
Don Amaro,46.11,3.13,0
luckboxx69,34.22,19.96,0
megastacks,53.73,45.17,0
KianBaba,93.05,38.74,0
colladito,45.4,14.55,0
nereids745,95.42,46.62,0
FNickel,84.8,30.43,0
maia673,55.29,18.12,0
