Player,VPIP,PFR,3Bet Total,All-In Adj BB
!BVB-1909!×x,70,16.67,10.53,44.37
!nsane90,72.73,15.29,5.41,-244.12
!SNICKERS987,79.17,0,0,-21.22
"""Greetzie""",69.57,26.09,0,-89.48
#1CAPOstatus,33.33,0,0,-19.2
#Linathedog,28.57,10.71,0,-34.58
#Naktro91,28.17,19.01,6.36,-284.49
$$Trashcan0909,37.5,25,50,4.44
$chmidter,56.52,39.13,11.11,-118.29
$ergie1,39.16,23.01,5.29,-438.05
$Hoolalah$,53.62,31.88,17.14,-95.51
$o3hLi,40.99,22.98,5.71,-45.07
$tandByMe,54.79,23.29,0,-42.46
*$lim*,50.1,34,13.27,-1293.3
****RCKR****,47.23,25.58,7.02,-237.48
*Gotchan*,40,10,7.69,-19.18
*OffStacked*,52.78,9.72,2.7,34.62
*STD*62,54.41,4.9,4.17,-143.27
--HURSUT--,40,40,25,-92.87
--Playertje-,60.87,34.78,0,-46.53
-aeriss-,56.25,31.25,11.11,-25.37
-EFP-,27.18,14.51,7.9,-485.24
-HluckH-,31.11,11.11,9.09,17.24
#NAME?,34.88,20.93,20.83,18.38
-kingkcaz-,68.92,47.97,33.33,-252.26
-LUCOWICH-,84,24,8.33,-118.6
#NAME?,37.7,20.49,3.51,-28.85
-mittis-,76.72,43.97,18.75,85
-r3d/L!ne,26.32,15.79,0,1.49
-Rebus1980-,36.25,21.31,11.11,-8.18
-River2Lady-,100,50,50,-35.7
-spelareett-,44.44,29.63,11.76,50.38
-staffort72-,95.65,43.48,18.18,-58.91
-zeppooo-,66.67,33.33,22.22,-0.72
.Produktt,42.86,24.76,11.76,-43.23
000_Aces_000,0,0,0,0
005franz,34.48,16.38,4.88,-356.67
007dmax,68.75,35.81,12.76,-1638.95
007Mango,57.14,14.29,0,-29.99
800888,58.33,25,18.18,11.34
00SKIP,57.3,30.96,3.03,185.14
1093454,80.03,9.54,7.82,-1518.42
11180,66.67,33.33,50,-11.08
409479,16.67,16.67,0,-9.5
61218,47.37,15.79,0,-23.77
08soulja08,85.71,42.86,25,-98.73
09cherkes09,52,24,9.09,-4.37
0godzilla0,67.95,11.54,0,-162.44
0Human0,40,20,0,-8.5
0m3rtaa,90,50,20,-135.82
0nmykn33z,50,20,0,-76.58
0pp0rtunity,22.94,9.17,6.67,-119.87
0rientk,40.59,9.52,3.02,-1484.8
0to100quick,47.65,19.71,7.41,-87.97
1 red shrimp,51.46,25.52,4.46,15.79
1%erCALLya!,47.13,28.03,11.9,-46.1
10/5/2005,57.14,38.1,12.5,-52.2
100 % NIT,71.43,57.14,50,0.25
100$talker,47.01,24.18,1.28,396.15
100%ludoman,53.61,13.92,3.51,-112.1
1000cubed,31.96,16.77,6.05,178.37
101storm,41.98,11.11,2.5,-21.25
10452km2,41.36,26.91,8.97,861.52
10_8_hearts,33.33,33.33,0,3.21
10BRADLEY,100,33.33,25,-36.53
111leha111,50.67,0,0,-46.75
113DENISKA,60,33.33,20,-8.07
11Digits,43.75,31.25,12.5,-111.31
11DJ,20,0,0,-5
123kid69,63.64,54.55,16.67,-69.89
12eypionero,88.24,54.9,24,-162.92
12nil8,61.9,14.29,20,-120.53
13.YETA,76.92,30.77,0,-105.62
13morry13,53.49,25.58,6.67,-132.88
147maker,43.84,23.74,6.45,-435.45
14K600D,72.73,9.09,12.5,-10.35
1728RO,46.06,27.99,16.57,-221.76
17Coolic17,54.55,12.12,0,111.4
17elf,57.89,2.63,3.13,62.78
186115poker,43.28,24.78,6.37,246.11
18riverrat_,69.84,22.01,8.45,-456.05
1983SUN,28.41,12.12,1.45,45.31
1984Black,45.45,18.18,0,5.33
19bigbucks,38.75,8.75,5,-88.75
19jacare,100,60,0,10.43
19Pistike93,47.66,27.1,12.5,-94.23
19raz0r91,70.85,44.53,11.22,-96.54
19tumosa79,69.7,31.82,16.22,-312.01
1cobra144,25.93,3.7,6.25,-18.25
1erraB,47.22,30.56,13.33,-38.78
1K_a_Day,30.88,23.53,17.24,-16.91
1nterN,55.56,22.22,20,18.47
1RussianDonk,55.77,40.38,17.65,-214.46
1shane1401,55.56,30.99,8.11,-110.51
"2,4willdo",100,50,0,-47.42
2003770,27.27,0,0,-14.84
2074,57.41,13.09,5,-458.07
20princemild,66.67,33.33,0,7
2113678,26.56,9.38,0,-93.69
221176,55.88,2.94,0,120.21
22dodi22,61.29,16.13,6.67,-84.72
22dudu12,54.05,18.92,4.17,55.96
234145,38.03,22.54,5.26,-5.33
23noraB,33.33,33.33,0,4.5
24242,34.97,17.48,6.8,172.92
24h00,92.86,42.86,30,24.12
24kgilded,31.93,16.48,7.06,5516.83
26.black.win,62.5,1.56,0,63.17
2631mmyy,62,14,10,-326.71
29comeback,57.14,14.29,0,-52.48
2_7FTWdonk,100,0,0,-9.6
2busy2bgr8,80.56,40.28,13.89,-52.96
2fish4you,44.97,28.04,0,-73.5
2loos4u,13.51,2.7,0,-0.66
3000270,70.71,8.08,9.23,-117.77
31PokerGod31,36.83,21.18,12.19,2238.17
333CHUNIA333,45.64,24.91,8.37,42.03
3bett!lt,0,0,0,0
3curry,65.53,46.36,19.79,-481.02
3lifestyle,64.04,21.8,3,104.16
3s4o5r,47.71,32,12.33,217.75
3wringler3,71.7,35.53,2.68,239.5
4 Card Brett,0,0,0,-0.8
40KEV60,45.93,31.58,8.97,-543.82
40let1,100,100,50,-31.72
44stason,36.46,7.29,2.27,-29.17
4digit,53.03,13.47,4,-649.78
4DTitle,54.06,8.55,0.4,-532.5
4ever10,31,5,0,-3.22
4outs2full,41.79,19.29,4,13.84
50555,60.32,30.16,16.67,-38.3
50senz,100,33.33,0,3.85
555tania555,32.47,22.13,8.72,124.77
59ALAN,66.54,4.72,0.6,-15.16
5tgb6yhn7,41,30.59,16.3,71.77
5toney,62.5,25,50,41.62
64244,34.48,18.62,4.76,157.95
688900,55.5,31.53,9.54,-619.73
69percent,66.67,44.44,25,-20.88
6ixrapsleafs,28.57,11.9,4.76,-18.22
6peewee9,53.6,30,10.34,-188.15
6strange9,66.67,50,0,-21.6
705danny420,80,40,20,-12.68
74anna74,100,0,0,-24.41
77064,37.74,26.58,10.89,-1235.79
7746969,82.94,4.71,0.41,-152.35
777...BN,25.74,6.62,0,-110.9
777toome,51.52,27.27,5.56,-26.99
7799,48,20,6.67,-34.35
77eagle77,42.19,14.06,6.15,-144.13
77SHAY,75,50,34.62,-337.64
7cardspoker,47.65,18.54,4.07,-699.59
7moneymaster,26.82,19,6.27,348.07
7Sportif,44.74,25.44,5.1,-177.38
818835,43.54,29.67,10.99,481.65
8557631,54.67,28,15.38,131.05
88FAT88,19.14,11.96,7.61,21.13
88ivan88923,57.36,26.36,15.38,124.75
88ROTT88,68.97,44.83,11.11,-1.53
8ballcol,59.37,34.3,10.4,-540.49
8Brain8,26.58,16.87,2.87,-156.5
8Buben,44.74,21.05,5.56,-94.22
8BuyIn2Play,46.88,25,0,98.44
8eyt8,30,18.33,4.35,-42.7
902th,19.25,12.83,0,-104.53
95533,33.33,33.33,0,-2.79
9ballor8,40,20,0,7.2
9butch9,31.17,15.58,0,-21.13
9I_Be3yH4uk,30.96,12.01,7.58,116.18
9o9p9q,31.58,19.3,6.36,11.44
9TRU,60.63,32.5,12.94,-329.06
[BO$$]BUDDAH,51.85,29.63,20,-116.94
_Bahman A_,58.57,31.43,0,-78.15
_cezary_1859,46.96,23.21,5.71,714.08
_cokepkr,22.22,0,0,-27.09
_exxpress_,36.36,25.45,4.55,-18.62
_G_L_T_U,43.75,37.5,71.43,-91.01
_Mr_Tilt0_,67.56,25,7.28,-550.4
_pauL€FauL_,39.02,22.67,9.76,-214.36
_Saout_01,44.21,25.95,9.6,125.44
_slowb0y_1,36.62,23.19,10.36,2959.57
_Sterne_swe_,75,50,0,-3.55
_TheJds_,32.45,16.4,7.37,63.84
_un4given_78,26.16,16.86,12.99,-57.74
A'dmPokerAce,43.66,11.27,0,59.05
a-maker-88,46.15,30.77,25,49.98
A.d.r.got.DO,63.64,36.36,9.09,149.98
A.haghsheno,66.67,37.5,0,-8.08
A.Ibragimov,65.32,17.74,8.45,-98.86
A.Vaziri,47.26,25.34,9.09,-202.15
a1pel200,100,0,0,-74.2
A5tabout,46.1,28.57,12.5,216.09
AA Austria,57.14,35.71,0,-10.85
AA_suited90,26.09,17.39,9.09,-8.94
aaaa10,50,9.56,1.2,-164.18
AAAAnadan,33.33,0,0,-62.5
aaabbbccc,30.25,19.13,8.39,-291.22
AAceKKingAA,33.33,11.11,0,-101.52
aakeiranaa82,44.83,10.34,5.88,-74.49
aakkqq,50,20.29,5.13,-57.94
AAlewAA,55.71,22.32,8.82,-783.43
AAlimp978,29.89,19.29,5.11,-29.36
aalloonn,100,100,0,-63.76
AAngelODeath,30.48,14.29,2.33,31.98
aanny1,57.65,11.76,1.85,-97.54
Aardvark101,68.29,36.59,15.79,-82.37
aaronole,91.91,27.41,6.91,-1655.93
AAsuited250,40.91,22.73,0,21.32
AAtmax_natal,36.36,12.73,0,-116.59
aavvi7777,44.9,12.24,0,-48.56
ab160,37.36,18.68,4.17,-55.16
ab2pok,73.64,5.54,2.68,-1484.46
AbakaneLL,57.14,42.86,0,-16.22
abarth500262,33.87,11.83,4.91,-1836.42
abbeking123,70.27,11.55,2.3,-398.53
abdoh9,73.33,13.33,20,-64.95
Abehjerne,66.67,50,0,-17.99
abep45,32.74,8.04,4.42,-134.12
abhineetjain,35.29,19.61,9.09,69.39
aboo,45.45,27.27,7.69,-2.08
abou3abib,58.82,35.29,0,36.29
abpkr14,53.09,29.63,9.09,248.77
abruzzi1988,33.33,20,20,-6.7
absolutD37,44.83,25.86,4.17,11.49
abtklo420,31.44,15.29,7.14,1029.8
Abufugl,78.95,36.84,23.08,-40.95
AcadianDoc,77.78,33.33,25,-58
Acc10,35.35,14.42,2.86,102.79
accoracy,63.16,1.75,1.94,-362.98
Ace Zzang,44.87,28.45,8.97,62.47
ACE2451,44.44,11.11,12.5,-24.61
AceAceee,48.61,27.49,9.02,0.02
aceacet,100,100,0,5.78
AceBruce999,48.15,22.22,11.11,-77.96
Aceman1977,25,25,0,16.76
acepoon,84.35,33.33,1.25,-208.05
ACES WOW,49.06,7.55,8,-34.61
aces2707,37.08,24.72,20.45,133.74
acesdesigner,91.67,50,0,-83.29
Acesfoldido,53.76,25.81,10,16.84
achraf12,33.33,11.11,0,-3.03
acidshyne,80.9,47.19,32.69,-19.26
ActionFreak,35.14,19.45,7.65,-359.77
actionstar1,82.35,23.53,10,-62.81
Adam18290,57.27,35.45,2.27,50.3
adam_baby666,91.18,1.96,0,215.45
adamjan1,90.91,6.06,5.26,26.35
AdamLech,61.54,23.08,0,30.63
adamowich,46.67,33.33,12.5,-51.92
AdamStarz,56.25,34.38,29.41,-103.24
Addictah,100,0,0,-1
adekoo,55.56,16.67,0,7.29
Adelapple,47.83,0,0,45.25
aderlay,26.17,16.82,11.54,-9.14
adinbrook,48.67,25.35,7.05,-594.82
adiprene1,36.32,19.55,11.03,85.56
ADj4ngoA,34.77,16.31,2.42,-329.44
Admiral19793,39.04,23.16,10.25,1630.41
ado9,66.67,66.67,0,-6.47
adomigan,51.2,24.1,3.57,-210.59
aDrENalin710,45.83,27.08,2.17,185.73
adrian182222,52.5,26.25,10.26,-14.91
adrian2131,31.81,15.67,2.84,-142.11
adv2mayfair,79.99,28.85,2.55,-3642.98
AE*StaR,33.33,21.33,10.71,-118.61
AedesAegypti,50.86,13.51,3.41,-619.01
AELISTAS1987,34.68,22.58,16.13,106.14
AEN1GMA,63.48,32.17,6.14,172.23
Aerowalker,53.63,31.55,9.21,-19.05
afalconi,71.43,28.57,50,2.79
Affis,38.61,15.82,4.23,-371.49
afifejale,38.46,15.38,0,82.58
afonso r.,75.86,55.17,38.46,-49.24
afreat,69.62,8.86,3.92,-132.26
AGabor23,100,0,0,-20.18
AGANAKTHSH77,46.15,25.17,18.06,-24.92
Aggel-jason,38.64,19.32,0,-107.86
aggelos andr,50,16.67,33.33,27.66
aggtarun,55.28,30.08,10,-125.67
AGLUND,61.27,10.64,2.37,-345.45
Agolos1988,84.62,7.69,0,-76.41
Aguiar_Bruno,71.43,35.71,10,18.43
Ahhh ls lt?,45.04,22.7,7.46,-219.85
Ahinogood,52.88,26.96,10.53,-614.6
ahkytekt3,73.07,15.23,7.06,290.18
ahmadnada,86.98,26.51,11.28,-503.59
Ahmed528,46.15,30.77,0,22.69
ai5000,51.22,32.38,12.06,-707.55
Aidan Redden,68.97,27.59,5.26,-54.18
AikoTakai14,53.73,37.31,25,167.12
aikpat,44.35,16.09,3.03,40.37
aira_j,85.71,28.57,16.67,21.02
Airforce2704,78.57,18.73,6.58,-44.05
airic1400,34.37,15.4,6.04,53.54
airsunny,45.14,30.56,17.04,-230.13
aitapeapea65,56.25,33.33,8,-72.34
